scalerank,labelrank,namealt,nameascii,sov0name,adm0name,latitude,longitude,pop_max,rank_max,min_zoom
"8","2",MiahuatlÃ¡n de Porfirio DÃ­az,Miahuatlan,Mexico,Mexico,16.32999676410,-96.60000573910,"17632","6",7.0
"8","2",,Atlixco,Mexico,Mexico,18.90002077130,-98.44999617690,"97842","8",7.0
"8","2",,Acatlan,Mexico,Mexico,18.19996014300,-98.04999475280,"18879","6",7.0
"8","2",,Paraiso,Mexico,Mexico,18.40002545060,-93.22997888360,"23830","7",7.0
"8","2",,Balancan,Mexico,Mexico,17.79995871880,-91.52997929050,"11895","6",7.0
"8","2",,Tlaxcala,Mexico,Mexico,19.31999513650,-98.23000960470,"503878","11",7.0
"8","2",,Irapuato,Mexico,Mexico,20.67001609190,-101.49999088700,"339554","10",7.0
"8","2",,Celaya,Mexico,Mexico,20.53002463680,-100.80000777400,"383697","10",7.0
"8","2",Chilpancingo De Los Bravo,Chilpancingo,Mexico,Mexico,17.54997397760,-99.50000960470,"182387","9",7.0
"8","2",,Iguala,Mexico,Mexico,18.37000144340,-99.53998132510,"112106","9",7.0
"8","2",,Tecpan,Mexico,Mexico,17.24999228820,-100.67998926000,"14638","6",7.0
"8","2",,Atoyac,Mexico,Mexico,17.19999533990,-100.43003035700,"20515","7",7.0
"8","2",,Nezahualcoyotl,Mexico,Mexico,19.41001548150,-99.02998661480,"1109363","12",7.0
"8","2",,San Juan del Rio,Mexico,Mexico,20.37998211570,-100.00003076400,"147559","9",7.0
"8","2",,Jaltipan,Mexico,Mexico,17.93997601210,-94.73999007340,"66998","8",7.0
"8","2",,Orizaba,Mexico,Mexico,18.85002382300,-97.12999922870,"355333","10",7.0
"8","2",Jalapa,Xalapa,Mexico,Mexico,19.52998231910,-96.91998620790,"452186","10",7.0
"8","2",,Nautla,Mexico,Mexico,20.21658123680,-96.78335372090,"2890","4",7.0
"8","2",,San Cristobal de Las Casas,Mexico,Mexico,16.74999696750,-92.63337447280,"186661","9",7.0
"8","2",,Escuintla,Mexico,Mexico,15.33000612280,-92.62998966650,"107638","9",7.0
"8","2",,Motul,Mexico,Mexico,21.09998984680,-89.27998742850,"21253","7",7.0
"8","2",,Tekax,Mexico,Mexico,20.19999310200,-89.27998742850,"22806","7",7.0
"8","2",,Peto,Mexico,Mexico,20.12997153620,-88.91998356300,"17607","6",7.0
"8","2",,Halacho,Mexico,Mexico,20.47997601210,-90.08001611510,"9165","5",7.0
"8","2",,Iwo,Nigeria,Nigeria,7.62995932915,4.17999263369,"250443","10",7.0
"8","2",,Iseyin,Nigeria,Nigeria,7.97001609185,3.59000280622,"98071","8",7.0
"8","8",,Tetovo,Macedonia,Macedonia,42.00923036610,20.97007889680,"119132","9",7.0
"8","8",Sidon,Saida,Lebanon,Lebanon,33.56302756660,35.36878657910,"173894","9",7.0
"8","5",,Olsztyn,Poland,Poland,53.80003521640,20.48003128940,"186670","9",7.0
"8","5",,Elblag,Poland,Poland,54.18995973620,19.40268102890,"127558","9",7.0
"8","5",,Inowroclaw,Poland,Poland,52.77994244290,18.24998653020,"79007","8",7.0
"8","5",,Bytom,Poland,Poland,50.35003908190,18.90999792350,"662247","11",8.0
"8","5",,Opole,Poland,Poland,50.68497987780,17.93134964870,"131412","9",7.0
"8","6",,Maqat,Kazakhstan,Kazakhstan,47.64824017240,53.32650182990,"14082","6",7.0
"8","2",,Solikamsk,Russia,Russia,59.66998699860,56.74996211630,"100812","9",7.0
"8","2",,Kizel,Russia,Russia,59.06436505040,57.63430090210,"22135","7",7.0
"8","6",,Bestobe,Kazakhstan,Kazakhstan,52.49967531240,73.09971349990,"7189","5",7.0
"8","6",,Osakarovka,Kazakhstan,Kazakhstan,50.57994752920,72.56992671600,"7305","5",7.0
"8","6",,Aqadyr,Kazakhstan,Kazakhstan,48.27486859040,72.85988317760,"9710","5",7.0
"8","6",,Sharbaqty,Kazakhstan,Kazakhstan,52.49990785630,78.14994787490,"107","1",7.0
"8","6",,Shemonaikha,Kazakhstan,Kazakhstan,50.63159812330,81.90496415090,"27176","7",7.0
"8","6",,Serebryansk,Kazakhstan,Kazakhstan,49.69989788730,83.42487137750,"701","2",7.0
"8","6",,Boralday,Kazakhstan,Kazakhstan,43.33413657540,76.82883988330,"20996","7",7.0
"8","6",,Zharkent,Kazakhstan,Kazakhstan,44.16155377100,79.98012040090,"36496","7",7.0
"8","6",,Esik,Kazakhstan,Kazakhstan,43.36906984360,77.44378942760,"35319","7",7.0
"8","6",,Lenger,Kazakhstan,Kazakhstan,42.18991701160,69.87991003300,"23058","7",7.0
"8","6",,Kentau,Kazakhstan,Kazakhstan,43.51650270490,68.51988968800,"57408","8",7.0
